ID No.,Program of Study,Gender,Nationality,Place of Birth,Father's Education,Mother's Education,Parental Income,Number of immediate family members,Any close family member with the same profession available for guidance,Availing any scholarship,I opted for this program of study because of my own interest.,Basic Education Stream,Intermediate Stream,Matric percentage,Intermediate percentage,SGPA in BS First semester,SGPA in BS Second semester,SGPA in BS Third semester,SGPA in BS Fourth semester,SGPA in BS Fifth semester,CGPA in BS Fifth semester,I understand the lecture more clearly if delivered in:,I understand the lecture more clearly if delivered on:,I understand the lecture more clearly if my sitting place is in:,I understand the lecture more clearly if the duration is:,I understand the lecture more clearly if delivered by:,I understand the lecture more clearly if the number of students in classroom are:,I understand the lecture more clearly if:,Lecture attendance has a positive effect on my academic performance.,TVFs often reschedule classes that negatively impacts my performance.,TVFs are very difficult to access after class timings and hence I am unable to clarify my concepts.,TVFs do not provide assessment results timely so I remain unaware of my standing in class.,TVFs are not aware of the university's curriculum and other requirements.,TVFs grade students according to their own beliefs and criteria and hence my GPA suffers.,TVFs are not very well prepared for the lectures due to their busy schedule.,TVFs have short-term relations with students and hence do not show sincere behavior to polish my academic skills. ,What is your residence place?,An ample amount of time is consumed on daily commuting and all energy is drained during travelling.,"Due to class/ lab cancellation or roads blockage, lots of time get wasted due to fixed official transport timings.",Hostelite can be more focused towards their studies whereas a day scholar may have a lot of distractions due to family issues.,"Hostelites have more opportunities to engage with their peers and participate in social events, that improve their performance.","Hostelites have better access to campus resources like libraries, instructors, labs and also get benefit of group study. ",Hostelites have a big social circle and connections with seniors who can guide them in studies and in other academic and administrative issues.,Un-announced quizzes are quite stressful and cause unnecessary anxiety and pressure on students.,Un-announced quizzes are a form of torture and have negative impact on learning environment.,I am not usually prepared for surprise quizzes and hence these are not true measures of my knowledge and understandings.,Un-announced quizzes are a waste of time and energy and are not effective and productive in the long term.,I cannot miss a single class despite my health or any other emergency situations due to unannounced quizzes as it badly effects my grade.,"I usually do not perform very well in surprise quizzes, hence lose my interest in the subject.","Due to overall academic workload, it is not possible to study/ practice each subject on daily basis, to prepare myself for unannounced quizzes.",Class Representative (CR) is favored more than any ordinary student as he/ she is in more contact with teachers.,"If a student is more active in class, then it is more likely that the teacher would be lenient during his/ her exam checking. ","Some teachers show more kindness towards female students, and it is clearly reflected in their grades. ",Preferential treatment with selective students creates a negative classroom environment and affects the learning experience. ,Discrimination distracts me from focusing on the course and I lose interest in attending the classes. ,"Discrimination negatively effects my mental condition, confidence, and overall engagement in the classroom. ",A proper classroom environment and discipline is not possible to maintain in online environment.,"Due to lack of technical expertise, senior instructors struggle a lot in online lectures, and I lose my interest.",It is difficult to convey complex concepts in online mode and hence quality of education suffers.,"It becomes a hobby to watch recorded lectures later on, so I try to cover a lot of content in a short time that becomes difficult to absorb.",I am easily distracted by social media and other sources of interruptions during online lectures.,"It reduces social interaction that results in a feeling of isolation, and I lose interest in studies.","It is easier for students to cheat in online exams, leading to academic dishonesty and hence I lose my motivation.",Lack of technical resources create disruptions during lectures and make it difficult to understand. ,I prefer to revise the lectures daily or before the next class of the same subject.,I frequently make use of You tube or Chat GPT for understanding of different concepts.,I enjoy and perform well in non-technical (Humanities/ Management/ Social Science) courses.,I am usually well prepared for exams but unable to attempt properly due to exam stress.,Instructors often miss lectures and arrange makeup classes that further increases my burden.,My classes schedule is usually very tight that hinders the process of learning.,I often come across health issues that effect my academic performance.,My preferable mode of study is:,My preferable time of study is:,My overall mobile usage (daily) for non-academic purpose is limited to:,Identify any other variable that has negatively impacted on your academic performance.,,,,,,,,
14,Computer Science,Female,Pakistani,Punjab,BS,Intermediate,Between 1Lac~2Lac,5,NO,NO,Disagree,Matric,FSc/ ICS,88.9,76.55,2.92,3.37,3.36,3.17,3.67,3.3,Mix of both English and Urdu,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Not more than 40,I take notes during lecture,Neutral,Neutral,Neutral,Disagree,Neutral,Agree,Neutral,Disagree,Day scholar,Agree,Strongly Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Neutral,Disagree,Neutral,Strongly agree,Neutral,Disagree,Disagree,Disagree,Disagree,Neutral,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Neutral,Disagree,Independent study,Late night,3~4 hours,Students jealousy over grades.,,,,,,,,
11,Computer Science,Female,Pakistani,Sindh,MS,BS,Between 2Lac~3Lac,5,NO,NO,Neutral,Matric,FSc/ ICS,91.36,79.55,3.31,3.22,3.3,3.2,3.26,3.26,Mix of both English and Urdu,Mode of lecture delivery does not effect my performance,Middle row,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,Strongly agree,Neutral,Disagree,Neutral,Neutral,Neutral,Disagree,Disagree,Day scholar,Disagree,Strongly Agree,Disagree,Neutral,Neutral,Agree,Strongly agree,Neutral,Agree,Strongly agree,Agree,Neutral,Agree,Neutral,Disagree,Disagree,Agree,Disagree,Neutral,Strongly agree,Neutral,Strongly agree,Agree,Neutral,Neutral,Neutral,Strongly agree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Independent study,Day time,3~4 hours,Busy Schedule ,,,,,,,,
7,Computer Science,Male,Pakistani,Punjab,Intermediate,Matric,Between 50K~1Lac,Above 6,NO,NO,Agree,Matric,FSc/ ICS,89.64,87.45,3.23,3.35,3.23,3.11,3.17,3.22,Urdu,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Not more than 40,Only understand the concepts without noting them down,Agree,Agree,Neutral,Neutral,Agree,Agree,Disagree,Neutral,Day scholar,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Group study,Day time,5~6 hours,Nill,,,,,,,,
13,Computer Science,Male,Pakistani,Federal/ Capital,MS,MS,Above 3Lac,4,NO,YES,Agree,Matric,FSc/ ICS,90.64,75.36,3.56,3.24,3.28,3.13,2.69,3.17,Language does not effect my performance,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Not more than 30,Only understand the concepts without noting them down,Agree,Strongly agree,Strongly agree,Neutral,Agree,Agree,Neutral,Disagree,Day scholar,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Disagree,Neutral,Neutral,Disagree,Agree,Agree,Disagree,Strongly agree,Strongly agree,Agree,Neutral,Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Disagree,Group study,Late night,3~4 hours,"Stress, Depression and Anxiety ",,,,,,,,
51,Computer Science,Male,Pakistani,Punjab,BS,Intermediate,Above 3Lac,Above 6,YES,NO,Strongly Agree,Matric,FSc/ ICS,80.18,84.73,3.38,2.86,2.82,3.3,3.37,3.15,Mix of both English and Urdu,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Agree,Strongly disagree,Strongly agree,Hostelite,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly disagree,Strongly Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Disagree,Disagree,Agree,Disagree,Agree,Strongly disagree,Strongly Agree,Disagree,Agree,Agree,Disagree,Agree,Group study,Late night,3~4 hours,Laziness ,,,,,,,,
18,Computer Science,Female,Pakistani,Punjab,BS,MS,Between 2Lac~3Lac,6,YES,YES,Strongly disagree,Matric,FSc/ ICS,84.82,77.82,3.25,2.69,3.18,3.2,3.39,3.14,Urdu,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,Strongly agree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Agree,Day scholar,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly disagree,Neutral,Agree,Neutral,Strongly Agree,Group study,Late night,3~4 hours,"Traveling, my health issues, surprise quizzes, favouritism, teachers attitude, etc all have negative impacts on student",,,,,,,,
16,Computer Science,Female,Pakistani,Punjab,MS,MS,Above 3Lac,5,YES,YES,Strongly disagree,Cambridge,FSc/ ICS,70.67,76.64,3.25,3.06,3.18,3,3.19,3.13,Mix of both English and Urdu,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,Only understand the concepts without noting them down,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Day scholar,Agree,Strongly Agree,Disagree,Disagree,Agree,Neutral,Agree,Disagree,Neutral,Disagree,Agree,Neutral,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Disagree,Neutral,Agree,Neutral,Agree,Agree,Agree,Disagree,Disagree,Disagree,Independent study,Late night,7~8 hours,time management ,,,,,,,,
37,Computer Science,Male,Pakistani,Punjab,MS,Matric,Between 30K~50K,6,NO,NO,Strongly Agree,Matric,FSc/ ICS,85.55,74,3.23,2.94,3.14,3.2,2.98,3.1,Mix of both English and Urdu,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Not more than 30,Only understand the concepts without noting them down,Strongly disagree,Agree,Neutral,Disagree,Neutral,Agree,Neutral,Agree,Hostelite,Strongly disagree,Strongly disagree,Strongly disagree,Strongly Agree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Disagree,Neutral,Group study,Late night,More than 8 hours,NIL,,,,,,,,
53,Computer Science,Male,Pakistani,Punjab,Intermediate,Intermediate,Between 50K~1Lac,6,NO,YES,Strongly Agree,Matric,FSc/ ICS,91.82,70.18,3.48,3.04,2.71,3.04,3.02,3.05,Urdu,Mix of both whiteboard and power point,Middle row,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,Only understand the concepts without noting them down,Agree,Agree,Neutral,Neutral,Strongly agree,Agree,Disagree,Disagree,Hostelite,Neutral,Neutral,Disagree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Neutral,Strongly agree,Disagree,Agree,Neutral,Agree,Neutral,Neutral,Strongly agree,Agree,Agree,Agree,Strongly agree,Neutral,Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Independent study,Late night,3~4 hours,The only thing that negatively impacted my academic performance is sudden medical emergency(COVID) in my family and unfortunately I loss my father in the last months of Second Semester. As I’m only brother and have to manage things that’s why I’ll suffer in Third Semester and my SGPA goes below 3.0. But I l’ll avail Sponsorship in 4th semester which always motivates me and I am performing well in next semesters.,,,,,,,,
36,Computer Science,Female,Pakistani,Punjab,MS,MS,Between 2Lac~3Lac,4,NO,NO,Strongly Agree,Cambridge,A-Level,80,73.18,3.25,2.8,2.86,2.7,3.48,3.02,Mix of both English and Urdu,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Not more than 30,Only understand the concepts without noting them down,Strongly disagree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Hostelite,Neutral,Strongly disagree,Neutral,Strongly Agree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Neutral,Strongly Agree,Agree,Disagree,Neutral,Group study,Late night,3~4 hours,NIL,,,,,,,,
