Matric percentage,Intermediate percentage,SGPA in BS First semester,SGPA in BS Second semester,SGPA in BS Third semester,SGPA in BS Fourth semester,SGPA in BS Fifth semester,CGPA in BS Fifth semester
-0.7945171280639022,1.2312776967635748,0.6059981530831458,1.3631663823327278,2.1471274589867964,2.327375357537875,4.0,3.73
-0.0172760596164519,0.91742552131848,1.1444154195784746,1.6773018832771684,1.801795009971424,2.077270135671331,3.65,3.72
0.0274691618080274,1.610440151492039,0.7562541344306795,1.2235506041351982,1.9236770508003789,1.9041203666868012,3.67,3.6
0.0572993094243486,-0.5828967277745408,0.919031447557174,1.3631663823327278,1.801795009971424,1.7309705977022718,3.61,3.59
-0.0487634376559005,0.1591006118615465,0.8313821251044463,1.7122058278265508,1.801795009971424,1.5001042390562316,3.5,3.58
0.3141700250093265,0.9682224052055476,0.919031447557174,1.6773018832771684,0.907993377225754,1.076849248205159,3.48,3.45
1.308508278886662,1.5614574420295106,0.9941594382309408,1.6074939941784037,1.3955215405415735,0.6920719837950922,3.48,3.45
-1.2535699552706048,0.1101179023990181,0.2804435268301567,1.293358493233963,1.801795009971424,1.1538047010871717,3.46,3.4
-0.5757627122108895,-1.1761317645985063,0.6059981530831458,1.1886466595858158,1.2736394997126192,1.115326974646165,3.17,3.32
-1.8534873684432644,-0.3851517154998882,0.7562541344306795,1.921629495122845,0.989248071111724,0.4034890354875424,3.15,3.32
0.8544271429493463,0.3913149382024255,0.0300168912509339,1.2235506041351982,1.0908164384691863,0.9421772056616352,3.67,3.3
1.2621058270390528,0.9355672655638604,0.518348830630418,0.9617710200148308,0.9689343976402311,0.9998937953231456,3.26,3.26
0.9770621942608836,2.3687650609489728,0.4181781763987289,1.1886466595858158,0.826738683339784,0.8267440263386151,3.17,3.22
1.1427852365737727,0.1754281816823902,0.8313821251044463,0.9966749645642132,0.928307050697246,0.8652217527796218,2.69,3.17
-0.5906777860190477,1.8753096174746051,0.6059981530831458,0.3335000181259479,-0.0061219289914087,1.1922824275281785,3.37,3.15
0.1782771303127561,0.6217150901187655,0.4432208399566512,0.036816489456198,0.7251703159823218,0.9998937953231456,3.39,3.14
-2.1667039184146253,0.4076425080232692,0.4432208399566512,0.6825394636197717,0.7251703159823218,0.6151165309130787,3.19,3.13
0.2992549512011659,-0.0712995400547934,0.4181781763987289,0.4731157963234774,0.6439156220963518,0.9998937953231456,2.98,3.1
1.3383384265029807,-0.7643141702283524,0.7312114708727572,0.6476355190703893,-0.2295723371778259,0.6920719837950922,3.02,3.05
-0.6205079336353689,-0.2200618428669176,0.4432208399566512,0.2287881844778007,0.0751327648945613,0.0379506342979793,3.48,3.02
-1.6745064827453444,1.3147297202923272,0.0300168912509339,0.158980295379036,0.4407788873814266,1.1538047010871717,2.96,3.0
-0.9817841658774684,-0.2690445523294487,0.6811261437569126,0.5429236854222422,0.5220335812673967,-0.0967214082455444,2.83,2.98
0.4848647585916026,-1.522639079685286,0.4432208399566512,0.5080197408728598,0.8876797037542611,0.1533838136209985,2.65,2.97
0.0572993094243486,-0.3343548316128207,0.2804435268301567,-0.1027992887413314,0.2376421526665014,0.6151165309130787,3.19,2.97
0.1169596046569887,-0.2037342730460766,0.6811261437569126,0.5429236854222422,0.5220335812673967,0.4996833515900587,2.48,2.97
0.1020445308488281,0.1101179023990181,0.4432208399566512,1.3631663823327278,0.7657976629253069,-0.8085593474041677,2.78,2.97
0.7964240781398336,-1.6224186730348815,0.5934768213041849,1.136290742761742,-0.0061219289914087,-0.0967214082455444,2.63,2.94
0.5842985839793352,-1.259583788127259,0.3680928492828844,0.3509519904006395,0.847052356811277,0.3650113090465357,2.54,2.93
-0.6801682288680089,0.4729527873066412,-0.646135024812967,-0.4867426787845368,0.6032882751533668,0.9421772056616352,3.35,2.9
-0.1382538805048617,-0.2853721221502923,0.4933061670724958,-0.591454512432684,0.1157601118375463,0.4034890354875424,3.09,2.89
-2.141845462067693,-0.1202822495173218,-0.3581443938968611,-0.4169347896857721,0.1157601118375463,0.6920719837950922,3.39,2.88
0.3257706379712276,-0.2037342730460766,0.4432208399566512,-0.8008781797289782,-0.0467492759343937,0.9036994792206284,2.91,2.86
